Title,"HE qualifications obtained by CAH level 1 subject, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2019/20,,,,,
Data source,HESA,,,,,
Data collection,"051,054",,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2019/20 total,800335,,,,,
,,,,,,
Last updated,Jan-21,,,,,
,,,,,,
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,England,Male,2019/20,65
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,England,Total,2019/20,125
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,England,Female,2019/20,15
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,England,Male,2019/20,10
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,England,Total,2019/20,25
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,Scotland,Female,2019/20,30
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,Scotland,Male,2019/20,35
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,Scotland,Total,2019/20,65
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,Scotland,Female,2019/20,15
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,Scotland,Male,2019/20,25
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,Scotland,Total,2019/20,45
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,Scotland,Female,2019/20,10
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,Scotland,Male,2019/20,10
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Other undergraduate,Part-time,Scotland,Total,2019/20,20
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,Wales,Female,2019/20,5
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,Wales,Male,2019/20,10
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Other undergraduate,All,Wales,Total,2019/20,10
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,Wales,Female,2019/20,5
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,Wales,Male,2019/20,10
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),Other undergraduate,Full-time,Wales,Total,2019/20,10
12 Geographical and environmental studies (natural sciences),All undergraduate,All,All,Female,2019/20,2805
12 Geographical and environmental studies (natural sciences),All undergraduate,All,All,Male,2019/20,2310
12 Geographical and environmental studies (natural sciences),All undergraduate,All,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,All,All,Total,2019/20,5115
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,All,Female,2019/20,2725
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,All,Male,2019/20,2245
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,All,Total,2019/20,4970
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,All,Female,2019/20,80
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,All,Male,2019/20,65
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,All,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,All,Total,2019/20,145
12 Geographical and environmental studies (natural sciences),All undergraduate,All,England,Female,2019/20,2325
12 Geographical and environmental studies (natural sciences),All undergraduate,All,England,Male,2019/20,1880
12 Geographical and environmental studies (natural sciences),All undergraduate,All,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,All,England,Total,2019/20,4205
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,England,Female,2019/20,2265
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,England,Male,2019/20,1840
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,England,Total,2019/20,4105
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,England,Female,2019/20,60
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,England,Male,2019/20,45
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,England,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,England,Total,2019/20,100
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Northern Ireland,Female,2019/20,75
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Northern Ireland,Male,2019/20,80
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Northern Ireland,Total,2019/20,155
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Northern Ireland,Female,2019/20,75
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Northern Ireland,Male,2019/20,75
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Northern Ireland,Total,2019/20,150
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Northern Ireland,Female,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Northern Ireland,Male,2019/20,5
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Northern Ireland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Northern Ireland,Total,2019/20,5
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Scotland,Female,2019/20,240
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Scotland,Male,2019/20,150
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Scotland,Total,2019/20,390
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Scotland,Female,2019/20,220
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Scotland,Male,2019/20,135
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Scotland,Total,2019/20,355
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Scotland,Female,2019/20,20
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Scotland,Male,2019/20,15
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Scotland,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Scotland,Total,2019/20,30
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Wales,Female,2019/20,165
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Wales,Male,2019/20,200
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,All,Wales,Total,2019/20,365
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Wales,Female,2019/20,160
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Wales,Male,2019/20,195
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Full-time,Wales,Total,2019/20,360
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Wales,Female,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Wales,Male,2019/20,5
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Wales,Other,2019/20,0
12 Geographical and environmental studies (natural sciences),All undergraduate,Part-time,Wales,Total,2019/20,5
"13 Architecture, building and planning",All,All,All,Female,2019/20,8325
"13 Architecture, building and planning",All,All,All,Male,2019/20,11815
"13 Architecture, building and planning",All,All,All,Other,2019/20,10
"13 Architecture, building and planning",All,All,All,Total,2019/20,20150
